eye,tStart,tEnd,duration
R,1063531,1063627,97
L,1063521,1063666,146
R,1064576,1064657,82
L,1064554,1064712,159
R,1066851,1066980,130
L,1066828,1067026,199
R,1068326,1068490,165
L,1068308,1068494,187
L,1068646,1068651,6
R,1070857,1071009,153
L,1070845,1071026,182
R,1071952,1072064,113
L,1071936,1072085,150
L,1074622,1075344,723
R,1074631,1075344,714
R,1076022,1076162,141
L,1076014,1076175,162
R,1078534,1078593,60
L,1078516,1078615,100
R,1080091,1080690,600
L,1080083,1080704,622
L,1086184,1086237,54
R,1087825,1088083,259
L,1087812,1088089,278
R,1088654,1088779,126
L,1088646,1088791,146
R,1090933,1091038,106
L,1090921,1091055,135
R,1092068,1092181,114
L,1092052,1092198,147
R,1093065,1093173,109
L,1093057,1093196,140
R,1094691,1094773,83
L,1094678,1094806,129
R,1095337,1095528,192
L,1095328,1095538,211
R,1096553,1096652,100
L,1096540,1096673,134
R,1098801,1098879,79
L,1098786,1098901,116
R,1101131,1101212,82
L,1101122,1101243,122
R,1103704,1103758,55
L,1103691,1103787,97
R,1105176,1105237,62
L,1105155,1105266,112
L,1106196,1106404,209
R,1106150,1106428,279
L,1106690,1107293,604
L,1107626,1108016,391
R,1106643,1108283,1641
R,1108598,1108663,66
L,1108585,1108690,106
R,1109375,1109969,595
L,1109364,1109985,622
R,1112568,1112619,52
L,1112555,1112655,101
R,1113306,1113370,65
L,1113297,1113393,97
R,1113659,1113763,105
L,1113653,1113771,119
R,1115331,1115445,115
L,1115316,1115468,153
R,1117289,1117368,80
L,1117278,1117386,109
R,1118442,1118520,79
L,1118433,1118541,109
R,1119784,1119888,105
L,1119774,1119912,139
R,1121792,1121894,103
L,1121774,1121899,126
R,1125128,1125284,157
L,1125108,1125317,210
R,1128085,1128154,70
L,1128067,1128178,112
R,1129272,1129378,107
L,1129264,1129388,125
L,1131620,1131812,193
R,1131628,1131819,192
R,1132675,1132930,256
R,1133021,1133108,88
R,1133251,1133267,17
L,1133288,1133288,1
R,1133792,1134621,830
L,1133770,1134633,864
R,1137286,1137621,336
L,1137282,1137631,350
R,1139143,1139237,95
L,1139134,1139254,121
R,1140559,1140646,88
L,1140551,1140662,112
R,1141736,1141842,107
L,1141729,1141852,124
R,1143114,1143240,127
L,1143095,1143257,163
L,1145556,1146040,485
R,1145558,1146044,487
R,1147750,1147835,86
L,1147741,1147857,117
R,1148212,1148440,229
R,1149572,1149640,69
L,1149563,1149653,91
R,1151425,1151527,103
L,1151414,1151544,131
L,1152773,1155553,2781
R,1153180,1155736,2557
R,1156662,1156749,88
L,1156657,1156760,104
R,1157620,1157694,75
L,1157612,1157712,101
R,1158840,1158943,104
L,1158832,1158954,123
L,1159842,1159964,123
R,1159845,1159964,120
R,1162476,1162562,87
L,1162468,1162574,107
R,1163588,1163712,125
L,1163587,1163715,129
R,1165881,1165973,93
L,1165876,1165983,108
R,1166784,1166875,92
L,1166780,1166880,101
R,1169225,1169346,122
L,1169220,1169357,138
R,1170457,1170557,101
L,1170451,1170566,116
R,1171295,1171413,119
L,1171287,1171423,137
R,1172377,1172489,113
L,1172375,1172498,124
L,1174479,1174639,161
R,1174485,1174644,160
R,1178295,1178461,167
L,1178290,1178467,178
R,1180613,1180749,137
L,1180613,1180755,143
R,1182135,1182256,122
L,1182128,1182268,141
L,1183512,1183638,127
R,1183514,1183642,129
L,1185295,1185477,183
R,1185291,1185477,187
R,1190043,1190202,160
L,1190056,1190215,160
R,1193649,1193729,81
L,1193643,1193740,98
R,1194545,1194633,89
L,1194542,1194642,101
L,1196982,1197152,171
R,1196986,1197159,174
R,1202325,1202439,115
L,1202319,1202452,134
R,1204449,1204518,70
L,1204441,1204541,101
R,1205897,1205998,102
L,1205894,1206002,109
R,1206892,1207004,113
L,1206888,1207010,123
R,1212528,1212616,89
L,1212522,1212630,109
R,1212760,1212859,100
L,1212751,1212871,121
R,1213331,1213666,336
L,1213323,1213672,350
R,1214652,1214734,83
L,1214645,1214738,94
R,1216050,1216189,140
L,1216046,1216193,148
R,1220504,1220575,72
R,1221811,1221937,127
L,1220465,1222022,1558
R,1222658,1222735,78
L,1222636,1222771,136
R,1223488,1223621,134
L,1223477,1223645,169
R,1224998,1225113,116
L,1224991,1225128,138
R,1227590,1227712,123
L,1227579,1227743,165
R,1231550,1231725,176
L,1231547,1231730,184
R,1233861,1234068,208
R,1235775,1236026,252
L,1235763,1236042,280
L,1237717,1238320,604
R,1237720,1238340,621
L,1240613,1240738,126
R,1240613,1240739,127
L,1245041,1245933,893
R,1245035,1245977,943
