eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1149931,1149952,22,648.3,236.2,736.2,249.5,1.9,144
R,1149932,1149952,21,650.8,280.0,736.4,283.4,1.8,151
L,1150129,1150151,23,751.8,276.9,846.4,291.6,2.0,161
R,1150130,1150151,22,736.2,315.3,824.8,324.5,1.9,148
R,1150429,1150457,29,813.3,318.6,1019.0,339.4,4.4,326
L,1150429,1150458,30,826.1,317.4,1046.3,326.3,4.7,324
L,1150658,1150677,20,1057.1,335.8,999.7,329.9,1.2,113
R,1150659,1150677,19,1020.7,350.4,956.3,346.4,1.4,110
L,1150954,1150975,22,1011.6,326.1,928.6,318.8,1.8,147
R,1150956,1150975,20,980.2,340.4,909.8,326.5,1.5,143
L,1151108,1151136,29,940.1,309.8,730.7,315.6,4.5,301
R,1151110,1151143,34,921.7,325.4,760.7,338.0,3.4,266
R,1151361,1151559,199,738.2,301.5,1022.5,312.5,6.0,929
L,1151358,1151571,214,730.3,294.0,990.8,237.1,5.7,715
L,1151801,1151824,24,1001.8,265.5,1094.7,262.3,2.0,136
R,1151801,1151825,25,1012.6,313.5,1114.5,320.9,2.2,155
L,1152001,1152032,32,1093.6,259.0,1298.8,246.2,4.3,227
R,1152001,1152032,32,1110.8,329.1,1326.6,323.9,4.6,267
L,1152258,1152286,29,1295.9,257.8,1456.0,250.5,3.3,192
R,1152257,1152286,30,1332.0,329.8,1483.2,322.1,3.1,176
L,1152522,1152544,23,1448.6,257.4,1359.0,273.2,1.9,155
R,1152524,1152544,21,1481.4,326.7,1400.9,331.7,1.7,146
L,1152612,1152636,25,1374.6,285.3,1514.3,270.1,2.9,218
R,1152612,1152637,26,1406.6,324.8,1543.2,323.7,2.8,200
R,1152779,1152851,73,1530.5,316.6,400.1,364.6,23.1,500
L,1152763,1155563,2801,1527.3,404.8,1527.3,404.8,0.0,6
L,1155632,1155642,11,1536.5,405.8,1569.1,410.8,0.7,70
R,1153096,1155747,2652,376.6,455.6,1552.1,419.3,23.9,434
R,1155788,1155807,20,1549.3,423.5,1473.6,429.7,1.6,145
L,1155788,1155809,22,1570.3,404.5,1494.1,407.4,1.6,164
L,1155942,1156008,67,1510.5,396.9,349.6,427.3,23.7,598
R,1155943,1156010,68,1493.3,411.0,356.2,440.5,23.2,553
L,1156287,1156314,28,342.1,398.7,516.3,395.1,3.6,239
R,1156285,1156314,30,330.1,386.4,522.2,380.9,3.9,282
R,1156524,1156549,26,498.7,344.7,683.1,352.3,3.9,281
L,1156523,1156552,30,514.7,340.0,691.4,369.4,3.8,234
R,1156645,1156778,134,684.2,354.9,734.2,333.9,1.1,1394
L,1156635,1156798,164,705.3,369.8,726.7,308.3,1.4,943
R,1156910,1156937,28,721.7,359.3,563.6,382.1,3.4,270
L,1156909,1156942,34,729.9,363.0,583.5,371.5,3.1,265
R,1157219,1157252,34,558.5,362.3,913.7,367.3,7.5,435
L,1157219,1157256,38,572.1,374.9,918.2,350.9,7.3,378
R,1157486,1157512,27,913.0,376.7,1123.1,368.0,4.5,330
L,1157487,1157514,28,938.4,357.4,1136.2,355.7,4.2,280
R,1157596,1157725,130,1137.9,371.2,1191.1,337.9,1.3,961
L,1157597,1157744,148,1158.5,375.0,1162.0,319.5,1.2,411
R,1157878,1157909,32,1180.9,349.4,1398.3,359.1,4.6,282
L,1157878,1157912,35,1166.3,341.2,1396.6,334.4,4.8,263
L,1158083,1158102,20,1394.3,338.0,1462.0,343.1,1.4,113
R,1158081,1158102,22,1392.8,355.0,1465.5,358.3,1.5,118
L,1158333,1158399,67,1454.3,346.8,307.4,420.7,23.4,612
R,1158334,1158401,68,1457.2,354.1,314.5,428.8,23.4,574
R,1158702,1158727,26,317.5,424.7,491.7,410.8,3.6,266
L,1158702,1158728,27,333.6,437.2,487.3,430.3,3.1,223
R,1158821,1158977,157,492.4,428.3,412.2,403.8,1.7,681
L,1158812,1159004,193,503.8,441.1,406.5,382.2,2.4,720
R,1159238,1159266,29,406.7,428.5,603.1,416.7,4.1,287
L,1159239,1159267,29,414.8,425.7,594.4,419.3,3.7,244
L,1159479,1159510,32,601.5,423.8,718.2,420.0,2.5,225
R,1159478,1159511,34,594.8,418.9,713.0,412.6,2.5,262
L,1159679,1159702,24,729.9,426.6,836.8,429.4,2.3,168
R,1159678,1159702,25,723.4,418.6,845.8,426.0,2.6,196
R,1159828,1159988,161,834.7,425.2,933.9,403.7,2.2,357
L,1159818,1160001,184,839.6,429.1,898.2,399.3,1.4,839
L,1160185,1160214,30,905.1,421.8,781.0,418.4,2.6,155
R,1160186,1160216,31,911.3,428.5,781.2,420.9,2.8,158
R,1160536,1160573,38,772.5,413.5,1128.3,424.9,7.6,387
L,1160538,1160574,37,780.6,411.9,1118.0,407.3,7.2,330
R,1160886,1160911,26,1124.7,413.9,1262.0,415.3,2.9,184
L,1160886,1160913,28,1122.7,412.4,1259.2,409.9,2.9,165
L,1161097,1161122,26,1269.7,411.1,1407.9,402.0,2.9,174
R,1161096,1161124,29,1270.6,415.2,1426.9,405.5,3.3,204
L,1161386,1161408,23,1427.9,393.9,1532.1,394.1,2.1,131
R,1161384,1161410,27,1423.4,399.7,1540.8,402.9,2.4,151
L,1161565,1161584,20,1543.2,387.8,1615.2,385.8,1.5,117
R,1161565,1161584,20,1535.2,397.0,1616.0,402.1,1.6,122
L,1161831,1161847,17,1625.1,393.5,1571.6,397.7,1.1,96
R,1161832,1161848,17,1614.1,406.9,1557.9,410.6,1.1,96
L,1162067,1162138,72,1575.2,398.0,324.3,486.5,25.3,585
R,1162068,1162139,72,1556.4,403.7,313.2,502.3,25.2,554
L,1162270,1162289,20,353.1,487.4,279.6,487.2,1.5,128
R,1162270,1162290,21,323.8,498.1,248.0,497.4,1.5,136
R,1162454,1162593,140,263.2,502.3,495.9,436.0,4.9,961
L,1162437,1162625,189,286.8,487.5,519.1,428.9,4.9,680
L,1162752,1162777,26,519.1,462.4,656.8,473.6,2.9,207
R,1162751,1162777,27,496.4,475.9,646.6,488.9,3.1,243
L,1162938,1162964,27,669.5,482.7,831.8,488.1,3.4,234
R,1162936,1162964,29,648.3,500.3,826.5,509.3,3.8,257
L,1163149,1163169,21,840.4,484.3,769.5,493.0,1.5,127
R,1163150,1163169,20,822.0,496.6,752.8,500.4,1.5,132
R,1163363,1163372,10,768.3,507.9,745.8,505.9,0.5,52
L,1163364,1163373,10,776.1,491.6,753.6,492.4,0.5,52
R,1163396,1163425,30,747.9,504.6,950.3,507.6,4.3,285
L,1163397,1163426,30,759.7,487.1,947.6,488.6,4.0,254
L,1163569,1163765,197,937.8,471.4,730.0,448.1,4.4,854
R,1163572,1163766,195,940.2,504.5,741.2,504.7,4.2,962
L,1164032,1164054,23,736.3,493.7,836.6,479.4,2.1,143
R,1164030,1164055,26,727.8,506.2,843.9,487.3,2.5,172
L,1164206,1164229,24,849.4,480.6,943.5,480.1,2.0,139
R,1164205,1164229,25,840.6,491.0,945.8,494.5,2.2,165
L,1164492,1164525,34,939.9,491.8,639.8,496.8,6.3,357
R,1164493,1164526,34,932.2,495.7,638.6,508.4,6.2,347
L,1164755,1164799,45,638.7,493.9,1108.4,475.2,9.9,384
R,1164754,1164799,46,625.3,488.9,1114.8,485.6,10.3,440
R,1165213,1165245,33,1106.3,485.2,1376.5,477.3,5.7,341
L,1165214,1165246,33,1101.3,483.0,1363.8,477.4,5.5,317
R,1165435,1165450,16,1375.2,483.5,1328.0,485.5,1.0,87
L,1165435,1165451,17,1375.2,482.7,1325.6,481.6,1.0,96
L,1165650,1165655,6,1323.5,479.3,1313.1,478.8,0.2,36
R,1165690,1165722,33,1315.7,479.4,1561.8,478.4,5.1,311
L,1165690,1165723,34,1312.9,478.0,1555.2,472.0,5.0,279
R,1165858,1166006,149,1551.4,484.1,1601.9,398.5,2.0,1121
L,1165860,1166023,164,1551.3,476.1,1580.2,392.5,1.8,454
L,1166179,1166248,70,1580.8,444.6,309.4,537.2,25.7,645
R,1166179,1166249,71,1579.5,448.4,330.9,547.2,25.3,564
L,1166416,1166427,12,328.0,545.7,296.6,545.2,0.6,65
R,1166415,1166429,15,327.2,545.4,289.3,555.4,0.8,78
R,1166609,1166640,32,294.4,556.0,570.7,553.2,5.6,357
L,1166610,1166641,32,304.2,550.7,559.7,552.0,5.2,314
R,1166764,1166904,141,565.5,560.1,650.3,511.6,2.0,1517
L,1166754,1166926,173,574.7,553.1,636.9,478.3,2.0,821
L,1167051,1167079,29,639.2,536.4,462.4,549.6,3.7,253
R,1167052,1167089,38,634.4,553.4,483.5,561.0,3.1,252
R,1167191,1167259,69,463.3,559.6,1576.7,464.9,22.8,636
L,1167193,1167262,70,477.6,549.5,1574.7,447.7,22.5,540
L,1167443,1167459,17,1557.2,462.7,1610.2,465.5,1.1,92
R,1167442,1167459,18,1559.3,470.9,1614.5,470.0,1.1,88
L,1167535,1167614,80,1604.3,472.2,288.8,560.2,26.4,572
R,1167535,1167616,82,1601.0,471.6,299.9,585.9,26.2,501
R,1167785,1167801,17,300.9,584.6,353.9,574.6,1.1,92
L,1167787,1167801,15,330.6,577.4,373.2,563.8,0.9,82
R,1167949,1167978,30,360.0,569.7,589.7,560.3,4.7,320
L,1167949,1167980,32,382.2,566.2,606.3,566.0,4.6,275
R,1168298,1168310,13,593.2,562.2,553.2,560.5,0.8,78
L,1168298,1168311,14,613.1,568.4,576.0,569.2,0.8,66
L,1168463,1168490,28,569.7,568.1,720.8,560.3,3.2,202
R,1168463,1168491,29,545.1,559.3,720.1,554.2,3.7,237
L,1168690,1168713,24,735.9,557.3,833.2,553.4,2.1,123
R,1168689,1168714,26,731.2,552.5,838.1,548.4,2.3,155
R,1168822,1168848,27,847.0,551.3,999.0,543.4,3.2,224
L,1168823,1168849,27,844.8,553.5,986.1,551.9,3.0,196
L,1169083,1169107,25,993.3,553.3,1119.8,549.6,2.7,178
R,1169082,1169107,26,1000.3,544.0,1144.8,540.2,3.1,210
R,1169209,1169378,170,1139.3,554.7,1307.6,503.0,3.7,426
L,1169204,1169387,184,1138.0,565.6,1277.9,524.0,3.1,261
R,1169557,1169583,27,1295.8,536.4,1432.1,527.7,2.8,157
L,1169558,1169586,29,1275.7,550.2,1410.3,537.8,2.8,136
R,1169748,1169770,23,1432.9,528.0,1546.0,527.1,2.3,175
L,1169749,1169771,23,1418.9,539.9,1529.6,533.0,2.3,161
L,1170000,1170024,25,1542.2,536.5,1629.0,534.6,1.8,106
R,1169998,1170024,27,1546.5,535.7,1640.6,537.5,1.9,120
L,1170222,1170297,76,1626.7,532.0,292.0,615.7,26.8,571
R,1170224,1170298,75,1628.2,524.3,320.9,634.1,26.2,542
R,1170434,1170594,161,324.3,639.0,293.8,603.2,0.9,709
L,1170418,1170623,206,324.0,636.0,278.5,547.4,2.0,478
L,1170849,1170869,21,283.8,624.6,374.4,621.4,1.8,135
R,1170848,1170870,23,284.9,644.9,381.7,635.3,1.9,152
R,1171153,1171170,18,384.0,647.1,446.2,643.0,1.3,109
L,1171153,1171171,19,382.0,627.0,443.4,625.8,1.2,98
R,1171269,1171451,183,451.5,642.6,454.6,600.9,0.9,729
L,1171254,1171491,238,451.7,622.8,438.2,572.8,1.1,614
L,1171541,1171566,26,433.8,596.8,559.3,611.7,2.6,187
R,1171540,1171573,34,448.3,623.5,563.5,629.0,2.4,214
L,1171765,1171786,22,568.7,608.2,648.0,607.4,1.6,120
R,1171764,1171786,23,569.0,617.1,653.4,615.3,1.8,138
L,1171982,1172006,25,647.6,600.6,763.0,608.6,2.4,151
R,1171980,1172007,28,638.9,631.5,765.1,636.1,2.6,163
R,1172243,1172266,24,750.3,640.5,855.0,641.6,2.2,157
L,1172244,1172267,24,770.9,614.6,864.2,607.8,2.0,130
R,1172361,1172514,154,856.0,637.8,1035.8,604.0,3.9,1063
L,1172348,1172539,192,872.7,596.0,1007.1,593.3,2.8,942
R,1172713,1172730,18,1017.2,631.0,1087.0,623.4,1.5,126
L,1172716,1172731,16,1011.1,626.4,1069.5,622.8,1.2,102
R,1172903,1172930,28,1090.7,613.3,1259.3,598.5,3.6,229
L,1172904,1172932,29,1080.0,618.3,1239.0,617.6,3.3,192
R,1173264,1173289,26,1261.4,602.6,1433.5,601.1,3.6,245
L,1173264,1173296,33,1245.5,620.2,1437.1,610.9,4.0,214
R,1173459,1173476,18,1490.7,594.9,1558.1,598.3,1.4,100
L,1173461,1173478,18,1475.2,612.1,1536.3,610.0,1.2,91
L,1173607,1173682,76,1549.2,615.6,274.9,719.0,25.6,573
R,1173607,1173684,78,1563.3,599.4,296.9,739.0,25.5,554
R,1174041,1174064,24,297.5,708.8,441.8,698.2,2.9,212
L,1174042,1174065,24,293.8,699.7,422.6,686.5,2.6,172
L,1174274,1174294,21,453.1,688.1,554.7,689.1,2.1,148
R,1174273,1174294,22,465.8,688.7,572.6,686.6,2.2,160
R,1174447,1174658,212,582.1,685.9,837.6,656.8,5.4,715
L,1174452,1174688,237,577.8,692.1,797.8,658.9,4.6,488
L,1174770,1174780,11,778.0,667.2,753.3,665.2,0.5,54
R,1174770,1174783,14,793.2,681.9,756.7,677.6,0.8,63
R,1175078,1175101,24,762.8,682.8,874.1,673.9,2.4,148
L,1175079,1175102,24,756.2,685.6,862.9,677.9,2.2,138
L,1175303,1175323,21,861.0,682.8,932.3,684.1,1.5,90
R,1175302,1175323,22,860.2,681.7,946.9,678.2,1.8,105
R,1175494,1175526,33,963.9,669.0,1118.7,679.5,3.3,170
L,1175494,1175528,35,948.0,685.0,1106.2,695.3,3.3,142
R,1175709,1175733,25,1111.0,682.3,1230.5,672.4,2.5,159
L,1175710,1175735,26,1107.7,700.9,1208.7,692.7,2.1,108
R,1175871,1175893,23,1258.4,665.3,1359.9,662.7,2.1,120
L,1175873,1175895,23,1240.8,690.8,1337.4,686.9,2.0,116
R,1176024,1176044,21,1396.2,658.8,1451.8,665.2,1.1,74
L,1176026,1176045,20,1382.0,689.9,1429.9,685.4,1.0,61
L,1176168,1176249,82,1450.5,683.7,274.8,753.8,23.7,500
R,1176169,1176251,83,1465.0,659.1,298.9,761.9,23.5,466
R,1176414,1176426,13,338.4,765.6,304.6,766.2,0.7,66
L,1176414,1176428,15,330.3,757.1,291.0,754.0,0.8,69
R,1176633,1176660,28,298.6,760.0,466.5,760.2,3.4,201
L,1176633,1176661,29,290.4,757.3,439.7,753.8,3.0,162
L,1176852,1176874,23,463.6,760.5,575.8,763.2,2.3,155
R,1176851,1176874,24,473.2,756.4,599.3,756.0,2.6,175
L,1177074,1177096,23,600.0,760.1,707.0,759.5,2.2,134
R,1177073,1177097,25,617.2,759.1,735.4,747.9,2.5,147
R,1177262,1177287,26,741.9,750.4,886.9,749.8,3.0,179
L,1177262,1177288,27,729.2,763.1,866.9,760.1,2.9,165
L,1177476,1177500,25,897.2,759.3,1041.5,749.2,3.0,185
R,1177475,1177501,27,908.2,746.7,1074.6,738.1,3.5,219
R,1177684,1177715,32,1085.9,741.0,1291.0,735.5,4.3,246
L,1177685,1177717,33,1074.4,751.9,1274.6,755.4,4.2,206
L,1177899,1177917,19,1308.8,762.0,1239.8,759.1,1.4,108
R,1177900,1177919,20,1314.2,727.7,1240.8,735.1,1.5,109
L,1178105,1178133,29,1238.9,763.8,1414.9,750.5,3.6,195
R,1178104,1178133,30,1239.5,735.3,1438.8,721.3,4.1,241
R,1178273,1178511,239,1453.9,717.9,1640.5,655.8,4.0,487
L,1178267,1178512,246,1441.8,744.4,1609.6,658.6,3.8,275
L,1178729,1178808,80,1655.8,738.4,323.6,827.5,26.5,570
R,1178730,1178810,81,1644.4,699.4,366.0,836.2,25.5,549
L,1178903,1178926,24,361.6,839.8,271.5,835.0,1.8,120
R,1178905,1178926,22,356.6,838.4,271.9,842.5,1.7,127
L,1179152,1179178,27,292.7,831.3,427.8,819.4,2.7,153
R,1179151,1179179,29,280.9,832.2,442.5,824.3,3.2,186
R,1179375,1179396,22,445.3,824.5,554.7,828.6,2.2,148
L,1179377,1179397,21,442.7,820.8,537.0,821.1,1.9,131
R,1179608,1179630,23,564.1,825.2,683.4,829.8,2.5,165
L,1179610,1179633,24,556.0,822.2,661.8,819.3,2.2,141
R,1180002,1180020,19,695.3,820.9,613.6,823.2,1.7,125
L,1180000,1180022,23,685.1,819.4,592.8,823.5,1.9,132
R,1180229,1180255,27,618.3,828.3,764.9,817.6,3.0,221
L,1180231,1180256,26,608.3,829.9,746.7,817.8,2.9,196
L,1180457,1180491,35,756.0,824.8,1056.1,831.0,6.2,333
R,1180457,1180492,36,761.6,817.7,1070.1,817.0,6.4,346
R,1180592,1180778,187,1063.0,809.5,1133.7,760.8,1.8,453
L,1180589,1180779,191,1078.0,826.8,1124.1,771.7,1.5,772
L,1180914,1180937,24,1105.5,800.4,1197.2,815.1,1.9,138
R,1180915,1180938,24,1103.4,791.2,1207.6,795.7,2.2,160
L,1181102,1181128,27,1197.8,819.3,1352.0,818.6,3.2,233
R,1181101,1181128,28,1197.9,794.7,1367.6,789.3,3.5,263
R,1181465,1181491,27,1355.6,788.3,1493.0,793.0,2.8,188
L,1181466,1181492,27,1356.7,819.8,1487.2,820.0,2.6,168
L,1181656,1181677,22,1476.0,820.2,1551.0,820.2,1.5,108
R,1181655,1181677,23,1475.3,792.7,1555.8,797.5,1.6,130
L,1181747,1181828,82,1545.1,820.0,321.6,888.3,24.4,575
R,1181748,1181829,82,1538.0,799.3,340.4,905.4,23.9,525
L,1182018,1182040,23,323.0,899.3,406.4,890.8,1.7,138
R,1182018,1182040,23,318.8,904.7,413.0,904.2,1.9,155
R,1182113,1182302,190,398.0,904.2,549.4,851.2,3.2,931
L,1182100,1182312,213,403.9,887.6,532.0,861.4,2.6,541
R,1182524,1182550,27,553.4,914.6,728.1,905.4,3.6,287
L,1182524,1182551,28,532.2,856.2,696.8,857.3,3.4,248
L,1182728,1182743,16,703.0,869.6,660.2,871.5,0.9,85
R,1182729,1182743,15,720.9,909.0,680.8,916.0,0.8,76
L,1183197,1183219,23,669.3,888.9,769.8,883.7,2.1,140
R,1183196,1183219,24,691.1,910.4,792.8,901.7,2.1,160
L,1183381,1183403,23,774.0,891.5,673.4,893.8,2.1,165
R,1183382,1183403,22,784.3,900.1,689.4,910.4,2.0,159
R,1183486,1183683,198,688.9,908.4,877.7,841.6,4.1,1458
L,1183487,1183694,208,687.5,886.6,874.3,875.3,3.9,621
L,1183859,1183881,23,874.8,867.7,975.6,867.5,2.1,152
R,1183860,1183883,24,868.3,871.2,979.1,866.4,2.3,169
R,1184076,1184099,24,968.7,874.7,1081.1,877.0,2.3,160
L,1184076,1184100,25,988.7,877.5,1091.9,886.3,2.1,133
R,1184327,1184354,28,1098.1,879.6,1229.3,871.6,2.7,168
L,1184329,1184355,27,1120.2,904.3,1241.3,902.9,2.5,146
L,1184568,1184582,15,1249.0,911.7,1294.0,908.2,0.9,78
R,1184566,1184583,18,1233.2,872.5,1292.9,874.8,1.2,109
R,1184747,1184772,26,1290.5,870.3,1462.9,873.5,3.5,233
L,1184748,1184774,27,1299.8,908.6,1453.9,902.9,3.1,188
L,1185013,1185029,17,1477.1,900.7,1420.0,904.0,1.1,102
R,1185014,1185031,18,1472.5,882.4,1414.0,881.9,1.2,95
L,1185255,1185523,269,1413.0,904.7,1588.0,827.6,3.8,891
R,1185252,1185530,279,1409.4,873.3,1629.1,843.6,4.4,1092
R,1185627,1185712,86,1595.4,838.1,296.4,963.0,25.6,507
L,1185625,1185722,98,1591.3,872.2,278.6,929.8,25.9,532
L,1185840,1185849,10,303.3,945.1,276.6,932.5,0.6,64
R,1185838,1185854,17,317.3,964.5,272.1,950.6,0.9,59
L,1186100,1186121,22,262.5,928.4,356.4,936.2,1.9,127
R,1186099,1186122,24,266.8,951.5,373.2,953.4,2.1,154
L,1186290,1186331,42,367.4,938.1,643.5,978.2,5.6,204
R,1186290,1186331,42,375.0,956.1,653.1,948.1,5.6,221
L,1186559,1186598,40,653.2,984.6,928.4,943.3,5.7,261
R,1186558,1186600,43,654.0,959.4,960.4,937.3,6.3,305
L,1186835,1186867,33,956.1,942.1,1095.4,950.0,2.9,123
R,1186833,1186873,41,981.5,927.4,1165.9,909.3,3.8,129
L,1187193,1187216,24,1132.7,944.7,1252.9,960.6,2.5,170
R,1187191,1187218,28,1155.6,893.9,1305.3,942.8,3.2,231
L,1187376,1187407,32,1284.6,974.1,1480.4,952.9,4.0,186
R,1187373,1187435,63,1322.2,931.3,1513.1,916.0,3.9,237
L,1187570,1187665,96,1491.1,922.9,243.2,1013.2,24.6,463
R,1187572,1187666,95,1503.0,892.5,307.9,989.0,23.6,476
R,1188022,1188045,24,299.5,996.1,388.6,1001.0,1.7,109
L,1188027,1188048,22,251.0,992.6,328.9,991.1,1.5,87
R,1188201,1188236,36,419.7,1029.0,360.9,1044.9,1.2,100
L,1188342,1188360,19,413.4,994.2,493.5,981.7,1.6,112
R,1188338,1188583,246,356.6,1041.3,758.8,1017.6,8.1,335
L,1188553,1188592,40,534.9,990.7,700.0,1053.4,3.6,172
R,1188778,1188805,28,727.4,1001.6,611.7,1047.4,2.5,134
L,1188776,1188806,31,705.8,1050.2,551.9,1039.9,3.1,167
R,1188839,1188844,6,592.2,1012.3,585.0,991.5,0.4,55
L,1188995,1189036,42,574.9,1047.1,1036.0,1024.1,9.4,424
R,1188993,1189036,44,586.1,1000.4,1075.4,991.4,10.0,478
R,1189267,1189285,19,1052.7,997.8,997.4,996.6,1.1,100
L,1189269,1189286,18,1036.4,1019.2,982.7,1014.9,1.1,92
R,1189355,1189387,33,996.4,997.2,1282.3,983.3,5.8,373
L,1189357,1189389,33,988.0,1010.8,1254.2,1020.1,5.5,316
L,1189643,1189681,39,1267.9,1024.5,1049.3,1008.8,4.5,351
R,1189643,1189682,40,1269.0,975.6,1058.0,986.7,4.3,314
R,1189914,1189929,16,1026.5,1000.5,981.1,1002.0,0.9,92
L,1189913,1189930,18,1039.5,1008.1,986.6,1003.3,1.1,98
L,1190035,1190232,198,1007.8,1021.1,1474.0,942.1,9.6,735
R,1190030,1190241,212,989.7,995.0,1454.9,963.2,9.5,474
L,1190559,1190578,20,1443.8,994.7,1528.4,995.4,1.7,149
R,1190558,1190580,23,1438.3,1011.2,1530.0,1021.4,1.8,140
L,1191042,1191165,124,1540.2,996.8,454.9,111.2,28.3,408
R,1191044,1191167,124,1512.1,1020.6,488.5,142.1,27.2,374
L,1191238,1191260,23,477.4,140.4,380.4,96.6,2.2,162
R,1191239,1191262,24,489.5,176.2,370.3,97.3,3.0,214
R,1191418,1191504,87,353.0,89.4,1602.3,1140.6,32.3,723
L,1191421,1191505,85,371.3,92.0,1631.2,1106.2,32.0,766
L,1191623,1191641,19,1616.0,1079.9,1567.2,1020.4,1.5,115
R,1191624,1191641,18,1590.2,1094.9,1562.2,1035.7,1.3,102
L,1191831,1191922,92,1575.2,1018.2,426.6,71.5,29.9,561
R,1191832,1191925,94,1561.3,1030.4,483.7,48.7,29.3,502
L,1192035,1192057,23,451.9,69.0,345.0,62.1,2.2,171
R,1192034,1192060,27,454.7,47.7,314.0,13.7,3.0,222
L,1192194,1192204,11,348.7,68.3,326.0,51.5,0.6,61
R,1192192,1192206,15,318.2,12.3,282.5,-18.2,1.0,82
L,1192440,1192463,24,327.5,46.3,431.8,10.6,2.2,157
R,1192439,1192465,27,301.5,-8.4,449.5,-6.9,3.0,225
R,1192725,1192758,34,448.6,9.4,690.5,20.6,5.0,288
L,1192727,1192762,36,431.7,6.8,657.7,8.3,4.7,229
L,1192937,1192961,25,674.7,13.2,818.8,11.3,3.0,196
R,1192936,1192962,27,696.1,19.0,853.8,34.5,3.4,224
R,1193127,1193145,19,871.9,37.1,801.7,29.4,1.5,128
L,1193127,1193146,20,846.5,16.6,774.3,17.2,1.5,111
L,1193459,1193476,18,776.8,22.7,712.0,15.2,1.4,108
R,1193459,1193478,20,803.5,37.6,739.9,25.3,1.4,105
R,1193621,1193766,146,751.4,45.8,1167.5,68.6,8.8,612
L,1193621,1193776,156,705.3,48.3,1117.8,26.2,8.7,560
R,1193937,1193950,14,1141.6,54.0,1156.5,21.2,0.8,64
L,1193937,1193950,14,1125.5,41.7,1133.9,3.7,0.8,82
L,1194118,1194131,14,1136.5,-7.8,1096.7,-2.4,0.8,77
R,1194118,1194132,15,1167.5,5.7,1127.2,9.4,0.9,84
R,1194380,1194397,18,1131.1,4.6,1192.5,6.2,1.3,101
L,1194380,1194399,20,1099.8,-9.9,1171.5,-14.2,1.5,104
R,1194528,1194661,134,1208.8,31.0,1355.4,10.5,3.1,592
L,1194522,1194672,151,1171.6,-10.2,1311.0,-91.5,3.4,326
L,1194897,1194917,21,1318.9,-61.3,1397.4,-74.3,1.6,94
R,1194898,1194917,20,1345.2,0.9,1423.2,5.8,1.6,104
L,1195066,1195090,25,1417.3,-78.8,1544.1,-90.6,2.6,174
R,1195064,1195091,28,1428.7,-0.7,1584.8,-9.5,3.2,206
L,1195262,1195332,71,1552.7,-80.6,321.9,41.6,25.0,606
R,1195264,1195333,70,1580.3,-7.4,353.2,54.0,24.8,535
L,1195481,1195495,15,349.3,58.1,305.9,55.4,0.9,84
R,1195478,1195499,22,346.2,53.9,298.0,45.6,1.0,110
L,1195685,1195712,28,317.3,62.5,487.2,43.3,3.5,203
R,1195683,1195712,30,295.3,45.8,516.8,58.7,4.5,282
L,1196011,1196025,15,511.9,43.1,471.5,37.3,0.8,75
R,1196011,1196026,16,536.4,64.8,489.4,53.2,1.0,89
R,1196214,1196246,33,485.1,52.5,768.3,73.9,5.9,364
L,1196216,1196248,33,460.6,33.0,735.7,36.0,5.7,312
R,1196601,1196628,28,795.9,82.0,645.1,65.6,3.2,179
L,1196601,1196629,29,758.2,49.8,597.0,45.6,3.4,196
L,1196738,1196763,26,602.1,42.3,481.8,39.9,2.5,164
R,1196737,1196764,28,642.4,64.5,515.9,59.4,2.6,156
R,1196961,1197186,226,526.7,101.5,728.1,85.4,4.2,365
L,1196958,1197193,236,494.9,67.0,679.7,11.0,4.0,402
R,1197545,1197569,25,846.1,72.3,941.7,80.4,2.0,108
L,1197545,1197570,26,803.4,54.5,908.9,46.2,2.2,109
R,1197830,1197840,11,976.9,78.8,996.7,74.1,0.4,44
L,1197829,1197843,15,921.0,49.6,956.1,36.3,0.8,65
R,1198073,1198086,14,993.9,62.9,956.6,56.4,0.8,70
L,1198071,1198086,16,958.8,40.3,907.5,32.2,1.1,86
R,1198379,1198412,34,952.2,56.6,1213.9,75.3,5.6,289
L,1198379,1198414,36,903.3,20.3,1189.7,18.4,6.1,260
R,1198636,1198659,24,1200.0,81.0,1291.7,80.7,1.9,117
L,1198638,1198660,23,1193.9,25.7,1269.3,12.1,1.6,85
L,1198889,1198907,19,1286.7,11.2,1224.6,12.9,1.3,93
R,1198890,1198907,18,1300.8,77.8,1246.7,68.1,1.1,88
R,1199158,1199179,22,1222.3,72.6,1313.6,75.8,1.9,126
L,1199161,1199180,20,1209.2,21.6,1291.7,10.4,1.8,120
R,1199350,1199369,20,1308.9,78.4,1391.4,76.0,1.7,140
L,1199353,1199373,21,1296.4,17.3,1359.1,15.0,1.3,93
R,1199704,1199709,6,1414.9,68.1,1425.2,67.7,0.2,36
L,1199705,1199711,7,1402.1,4.3,1413.3,-0.4,0.2,37
R,1199892,1199901,10,1436.6,73.4,1454.0,72.6,0.4,40
L,1199982,1200010,29,1432.1,7.3,1289.0,21.6,3.0,149
R,1199981,1200015,35,1443.2,72.0,1279.4,74.5,3.4,147
L,1200308,1200349,42,1219.4,24.1,1519.2,-20.8,6.3,246
R,1200307,1200350,44,1244.3,73.5,1560.7,66.1,6.5,286
L,1200788,1200896,109,1572.8,-11.1,280.5,105.8,26.2,422
