eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,694270,694312,43,1010.0,546.3,685.0,493.1,7.0,332
R,694271,694312,42,1027.0,558.5,724.4,502.7,6.5,304
L,694398,694423,26,696.0,496.4,542.5,497.3,3.2,247
R,694399,694424,26,720.2,493.3,573.2,497.6,3.1,237
R,694661,694697,37,573.5,505.6,964.3,502.6,8.2,431
L,694662,694698,37,557.2,504.3,930.0,506.6,7.8,386
R,694866,694896,31,954.7,508.0,1192.8,493.9,5.0,298
L,694867,694900,34,939.2,520.3,1181.0,510.3,5.1,277
R,695111,695134,24,1202.0,491.5,1322.9,495.7,2.5,199
L,695111,695135,25,1181.7,506.7,1295.4,504.6,2.4,179
L,695226,695253,28,1299.4,502.6,1129.7,502.5,3.6,257
R,695226,695253,28,1317.7,493.2,1150.7,495.7,3.5,234
L,695379,695430,52,1136.5,503.3,497.1,293.0,14.1,490
R,695380,695432,53,1154.5,485.8,531.8,294.6,13.7,432
R,695539,695576,38,530.4,297.1,459.8,23.8,5.9,305
L,695538,695577,40,514.5,302.3,402.3,-4.5,6.8,320
L,695742,695755,14,416.0,14.8,373.1,11.0,0.9,84
R,695743,695756,14,453.8,27.7,408.7,14.7,1.0,86
R,695906,695933,28,407.9,12.8,618.0,20.5,4.3,308
L,695907,695934,28,368.0,12.6,541.0,-6.1,3.6,223
L,696209,696222,14,568.1,0.2,615.9,2.4,1.0,87
R,696208,696225,18,622.4,25.7,677.8,28.1,1.2,96
L,696391,696424,34,617.0,6.8,425.6,-0.1,4.0,212
R,696392,696424,33,670.8,34.1,481.0,22.7,3.9,213
R,696504,696635,132,488.2,37.9,629.0,30.1,2.9,1138
R,696664,696695,32,625.6,15.2,853.5,38.7,4.8,314
L,696496,696697,202,435.4,1.8,787.3,19.2,7.3,856
L,696924,696938,15,755.1,11.3,713.9,15.4,0.9,68
R,696923,696938,16,818.6,30.9,772.5,30.7,1.0,76
R,697096,697124,29,772.9,31.4,991.6,43.3,4.7,330
L,697096,697125,30,710.2,10.4,925.1,13.4,4.6,272
R,697318,697342,25,1006.1,37.0,1137.4,36.6,2.8,170
L,697318,697343,26,949.6,24.7,1077.6,20.4,2.7,159
R,697508,697532,25,1158.0,32.7,1277.4,29.0,2.5,176
L,697509,697533,25,1104.0,19.6,1213.5,8.6,2.3,159
L,697733,697750,18,1213.6,17.6,1151.5,22.5,1.3,102
R,697732,697752,21,1274.1,28.6,1203.0,36.5,1.5,99
L,697812,697835,24,1152.3,21.4,1059.6,36.2,2.0,160
R,697813,697835,23,1203.0,33.3,1104.7,44.1,2.1,161
R,698028,698167,140,1111.5,50.1,1406.6,11.6,6.2,1159
L,698029,698172,144,1070.3,32.9,1352.3,-48.6,6.2,834
R,698399,698409,11,1396.7,23.3,1419.6,23.3,0.5,49
L,698399,698410,12,1357.8,-6.6,1381.5,-8.1,0.5,48
R,698503,698525,23,1420.3,22.5,1323.8,12.9,2.0,163
L,698502,698526,25,1379.7,-14.8,1264.5,0.0,2.4,199
R,698777,698804,28,1320.2,17.3,1487.8,22.7,3.5,201
L,698777,698807,31,1273.5,4.2,1456.6,-19.3,3.8,197
L,698967,698991,25,1451.9,-17.1,1571.8,-29.7,2.5,164
R,698967,698991,25,1492.2,14.3,1611.5,13.5,2.4,165
L,699179,699247,69,1572.6,-31.9,316.2,62.5,25.4,607
R,699179,699249,71,1608.9,10.8,356.9,77.9,25.3,585
R,699378,699393,16,361.2,69.0,318.1,67.8,0.9,83
L,699377,699395,19,341.9,71.6,303.5,71.3,0.8,86
R,699636,699666,31,337.6,60.8,549.8,77.1,4.4,274
L,699637,699667,31,313.3,73.0,511.6,78.4,4.1,238
R,699739,699850,112,551.5,92.3,594.2,91.5,0.9,1029
L,699735,699858,124,527.7,83.6,578.2,43.4,1.4,683
L,699915,699938,24,580.5,85.1,704.1,74.9,2.6,202
R,699913,699938,26,600.6,68.0,739.6,78.3,2.9,229
R,700185,700210,26,738.7,83.7,877.5,92.9,3.0,202
L,700185,700211,27,709.7,91.6,842.7,90.0,2.8,175
L,700325,700349,25,843.3,92.1,966.9,100.5,2.6,191
R,700325,700350,26,875.1,87.0,1012.8,99.6,3.0,220
L,700544,700569,26,981.5,99.4,1134.6,81.5,3.3,223
R,700544,700569,26,1015.0,100.2,1178.2,101.3,3.5,256
L,700729,700746,18,1160.1,83.3,1099.6,87.9,1.3,114
R,700728,700746,19,1192.8,100.0,1127.2,101.9,1.4,114
L,700901,700929,29,1091.7,90.2,1248.0,75.2,3.3,179
R,700901,700929,29,1122.7,97.5,1288.9,88.8,3.5,195
R,701041,701173,133,1289.6,98.1,1329.3,61.7,1.1,1174
L,701044,701174,131,1249.7,74.3,1274.1,22.0,1.2,756
L,701219,701244,26,1276.0,51.7,1141.1,65.7,2.9,218
R,701220,701245,26,1314.9,73.2,1186.7,80.1,2.7,201
L,701453,701461,9,1136.4,78.8,1118.2,81.7,0.4,46
R,701453,701462,10,1165.1,83.0,1143.0,83.2,0.5,53
R,701598,701631,34,1141.1,82.1,1352.6,70.0,4.5,220
L,701600,701633,34,1117.6,72.2,1304.0,53.0,3.9,178
L,701666,701696,31,1306.8,54.2,1478.1,42.3,3.5,230
R,701666,701702,37,1355.1,65.8,1503.1,67.8,3.1,261
L,702226,702296,71,1462.3,52.3,289.2,133.4,23.9,562
R,702227,702298,72,1517.8,61.5,335.0,119.4,24.1,550
R,702457,702578,122,348.6,139.2,412.4,133.6,1.3,994
L,702453,702602,150,312.2,143.6,398.7,165.9,1.8,624
L,702666,702688,23,396.4,170.5,486.1,157.3,1.9,151
R,702665,702688,24,412.8,108.9,535.2,116.3,2.5,211
L,702974,703001,28,481.8,144.1,636.0,153.8,3.2,190
R,702973,703001,29,521.6,119.6,691.1,124.9,3.5,221
L,703227,703258,32,650.2,153.9,413.3,155.6,4.9,279
R,703227,703259,33,696.6,128.6,454.6,129.0,5.0,288
R,703526,703546,21,449.8,128.1,529.5,125.8,1.6,138
L,703527,703546,20,413.9,141.4,482.2,139.6,1.4,109
R,703745,703774,30,533.6,125.0,796.5,143.7,5.5,340
L,703746,703775,30,492.5,143.8,729.6,168.6,5.0,296
R,704010,704038,29,814.5,141.7,1004.0,144.9,4.0,258
L,704010,704039,30,759.7,166.6,952.7,153.9,4.1,237
R,704140,704261,122,1004.6,151.0,1089.7,128.8,1.9,692
L,704142,704276,135,964.7,166.3,1042.8,103.1,2.1,280
L,704462,704485,24,1046.7,129.2,1175.5,119.9,2.7,205
R,704461,704486,26,1079.6,130.8,1227.3,126.2,3.1,235
L,704733,704742,10,1196.8,129.0,1174.7,132.6,0.5,53
R,704734,704743,10,1224.4,128.8,1202.3,133.6,0.5,54
R,704856,704884,29,1202.6,137.2,1401.1,130.9,4.2,251
L,704857,704889,33,1171.8,143.0,1374.5,124.5,4.3,214
L,705029,705048,20,1390.0,136.0,1468.4,128.7,1.6,124
R,705027,705049,23,1419.7,134.4,1515.7,132.4,2.0,142
L,705182,705249,68,1467.7,129.5,300.9,201.1,23.8,590
R,705182,705249,68,1509.4,132.4,343.0,184.6,23.8,563
L,705453,705466,14,328.6,202.6,290.1,208.4,0.8,72
R,705453,705467,15,358.8,178.9,317.3,185.3,0.8,76
L,705645,705664,20,301.5,214.0,384.7,216.1,1.7,119
R,705644,705665,22,323.6,185.4,418.5,191.8,1.9,134
R,705777,705914,138,422.5,205.8,469.3,209.6,1.0,772
L,705773,705982,210,401.4,218.5,326.4,250.6,1.7,484
R,705956,705982,27,466.3,196.7,328.0,193.8,2.8,168
L,706416,706440,25,300.7,231.4,445.3,229.3,3.0,218
R,706414,706440,27,301.3,197.9,487.8,204.7,3.8,292
L,706667,706690,24,460.5,221.1,574.7,224.3,2.4,173
R,706667,706690,24,485.2,202.6,618.6,199.0,2.8,226
L,706968,706985,18,583.6,228.0,650.4,226.4,1.4,118
R,706967,706985,19,618.2,203.1,686.6,205.2,1.4,120
L,707182,707202,21,663.7,223.2,583.8,225.7,1.7,137
R,707182,707202,21,694.8,197.5,619.6,198.7,1.6,127
L,707477,707498,22,591.8,223.5,691.1,227.9,2.1,144
R,707475,707499,25,617.4,197.8,741.7,207.6,2.6,173
L,707732,707740,9,714.2,230.5,735.5,229.5,0.5,54
R,707730,707742,13,752.2,207.2,791.8,206.1,0.8,82
R,707925,707949,25,791.4,205.9,901.9,207.0,2.4,146
L,707926,707950,25,747.8,227.6,868.2,222.3,2.6,154
R,708060,708185,126,915.0,224.6,1007.2,178.0,2.2,368
L,708053,708211,159,874.7,228.7,963.8,162.0,2.4,627
L,708400,708425,26,956.1,219.3,823.0,226.7,2.8,218
R,708402,708425,24,992.2,207.3,873.9,210.2,2.5,194
R,708673,708695,23,865.4,207.1,972.3,212.0,2.3,169
L,708674,708697,24,825.0,224.9,931.3,221.2,2.3,150
L,708917,708940,24,943.1,210.5,1059.7,198.0,2.5,162
R,708916,708941,26,975.5,198.2,1100.3,198.5,2.7,177
