,eye,fix_num,fix_word_num,norm_fix_word_num,norm_in_word_reg,norm_out_word_reg,zscored_zipf_fixdur_corr,zipf_fixdur_corr,zscored_word_length_fixdur_corr,word_length_fixdur_corr,norm_total_viewing,blink_num,blink_dur,blink_freq,sac_num,norm_sac_num,mean_pupil,pupil_slope,reading,run,page,is_MWreported,is_MWvalid,MW_start,MW_end,page_start,page_end,win_start,win_end,win_dur,task_start,norm_pupil,sub_id
297,L,48,48,3.487611712562688,0.125,0.125,-1.5486248185590883,-0.4612492602464473,1.2431933746801636,0.3078806267064883,247.75,2,75.0,0.145317154690112,48,3.487611712562688,1465.5800334229457,-0.0003677739691314,The Voynich Manuscript,4,8,False,False,,,4978.962,5042.998,4983.477000000001,4997.240000000001,13.76299999999992,4449.537,0.8642610631932186,s10115
298,L,47,47,3.973285992053521,0.2340425531914893,0.1489361702127659,0.33840591647612855,0.0403475593976437,-0.25257902229950696,-0.0146631718284154,205.1489361702128,1,109.0,0.0845379998309259,47,3.973285992053521,1642.980135249366,-0.0012150301279323,Prisoners Dilemma,3,3,False,False,,,3531.922,3595.419,3538.036,3549.865,11.828999999999724,3342.825,0.9688749342330688,s10115
299,L,38,38,3.825246627743029,0.0789473684210526,0.2105263157894736,-1.1108597234720246,-0.3448857186410869,0.8193390353855622,0.2164819694658301,216.7894736842105,1,91.0,0.100664384940606,39,3.9259110126836343,1546.7908404630095,-0.0325109028397423,Prisoners Dilemma,3,6,False,False,,,3747.413,3810.447,3756.106,3766.04,9.934000000000196,3342.825,0.9121515480760526,s10115
300,L,35,35,3.7143160352330296,0.2,0.1428571428571428,-0.15138331923540513,-0.0898446618351654,0.19570281250802787,0.0820029560564032,224.02857142857144,3,59.333333333333336,0.3183699458771168,36,3.820439350525402,1604.042816213922,0.0170286486877517,The Voynich Manuscript,4,1,False,False,,,4522.221,4585.02,4533.925,4543.348,9.422999999999774,4449.537,0.9459133709065882,s10115
301,L,23,23,3.910899506886981,0.0869565217391304,0.217391304347826,0.32211250340057324,0.0360165625420501,-0.6368095466470185,-0.0975174704411933,211.95652173913044,0,,,24,4.080938615882067,1675.1509947287875,0.0099886725863897,Serena Williams,1,5,False,False,,,1518.023,1580.326,1532.01,1537.8909999999994,5.880999999999403,1214.883,0.987846277034858,s10115
302,L,47,47,3.707794256863384,0.1276595744680851,0.0851063829787234,0.2511790530948597,0.0171615474015235,0.15416408967342154,0.073045672530904,225.3404255319149,1,54.0,0.0788892395077315,48,3.786683496371116,1802.874329441464,-0.0158416570737667,Serena Williams,1,7,False,False,,,1636.287,1698.465,1650.9439999999995,1663.6199999999997,12.67599999999993,1214.883,1.0631654698022075,s10115
303,L,31,31,3.5444774754172954,0.0967741935483871,0.1612903225806451,-0.9406223119075168,-0.2996344449655653,1.4946850289402427,0.3621115201423264,242.93548387096772,0,,,31,3.5444774754172954,1760.5169601341563,0.0115726029054473,Pluto,5,5,False,False,,,5712.273,5774.23,5727.637000000001,5736.383000000001,8.746000000000095,5405.454,1.0381870829541675,s10115
304,L,40,40,3.6630036630036384,0.125,0.175,-1.6907567086729407,-0.4990297281145455,2.1793720525508227,0.5097553420559054,230.25,3,62.0,0.2747252747252729,41,3.7545787545787297,1812.4777472527476,0.0031865425992428,Prisoners Dilemma,3,1,False,False,,,3408.114,3468.487,3426.6689999999994,3437.5889999999995,10.920000000000073,3342.825,1.0688286610975224,s10115
305,L,49,49,3.623456333653738,0.0408163265306122,0.2040816326530612,-0.23524073690457273,-0.1121350322173074,-0.04953309796189635,0.0291210321354539,229.3673469387755,2,92.5,0.147896176883826,50,3.697404422095651,1561.444653948536,-0.0366101985065293,The Voynich Manuscript,4,7,False,False,,,4918.438,4978.801,4939.65,4953.173,13.523000000000138,4449.537,0.9207929870517576,s10115
306,L,24,24,3.6057692307692575,0.0833333333333333,0.2916666666666667,-2.038984756487652,-0.5915931814021624,2.347196243368741,0.5459444388073637,231.70833333333331,1,66.0,0.1502403846153857,25,3.756009615384644,1591.4592848557693,0.0038800821631574,The Voynich Manuscript,4,4,False,False,,,4736.17,4796.286,4758.611000000001,4765.267000000001,6.655999999999949,4449.537,0.9384927893332148,s10115
