,run,reading,page_num,num_blinks,num_fixations,num_saccades,norm_blink_freq,pupil_slope,mean_pupil_size,mean_blink_duration,norm_pupil_size,norm_num_word_fix,norm_saccade_count,norm_in_word_regression,norm_out_word_regression,zscored_zipf_duration_correlation,zipf_duration_correlation,norm_total_viewing,zscored_word_length_duration_correlation,word_length_duration_correlation,reported_MW,valid_MW,win_start,win_end,task_start,page_start,page_end,win_duration,win_type,sub_id
305,1,Pluto,5,0,5,4,0.0,0.9271817466561724,1337.4193548387098,0.0,1.1914922121041294,3.21543408360092,3.21543408360092,0.0,0.2,4.482847247864434,0.9774010981468368,0.33875,-0.18743106698753445,-0.0102081692241541,1,0,1507.581,1508.825,1164.908,1497.214,1512.264,1.244000000000142,,s10100
306,1,Pluto,6,8,209,209,0.1440273651993882,-0.0412177801050385,1139.857693387144,0.104125,1.015486698068271,2.4124583670897537,3.7627149158340183,0.0765550239234449,0.2440191387559808,0.49521095652693087,0.0639442112942563,0.3325149253731343,-0.41754468997903627,-0.0581473840602771,0,0,,,1164.908,1571.854,1627.399,55.544999999999845,NR,s10100
307,1,Pluto,7,0,4,3,0.0,-0.5918851557993517,1041.6707317073171,0.0,0.9280130124599234,4.872107186358618,3.6540803897689633,0.0,0.0,-0.8695774262013889,-0.2486909580685515,0.4155,1.5206676442038953,0.3456373909499814,1,0,1644.325,1645.146,1164.908,1627.565,1653.727,0.8209999999999127,,s10100
308,1,Pluto,8,0,5,4,0.0,0.2985370691792827,1378.4545454545455,0.0,1.2280500126654,3.642987249544017,3.642987249544017,0.0,0.4,2.9274202291175575,0.6210959041758106,0.27625,-1.1746703161207972,-0.2158781936390062,1,0,1678.072,1679.17,1164.908,1677.328,1684.498,1.0980000000001835,,s10100
309,1,Pluto,9,3,37,36,0.2956538878486205,-0.0068390467879517,932.4959451012992,0.0533333333333333,0.8307503943225569,1.9710259189908037,3.547846654183446,0.081081081081081,0.1891891891891892,0.2706622359785095,0.0125063267348065,0.4837000000000001,-0.43489057350832105,-0.0617610251225599,1,1,1758.156,1768.303,1164.908,1741.011,1770.037,10.147000000000162,MR,s10100
310,2,Serena Williams,0,0,5,4,0.0,0.4728221636913419,1034.1629629629629,0.0,0.9213244237560044,3.711952487007595,2.969561989606076,0.0,0.0,-1.0727837866607475,-0.2952398998105752,0.2754,1.0475282576696103,0.2470689950261286,1,0,2322.81,2324.157,2296.231,2296.338,2329.116,1.3470000000002074,,s10100
311,2,Serena Williams,1,1,37,36,0.0942862530643053,-0.2517230606599126,1294.5602501519402,0.054,1.1533095065321737,2.545728832736243,3.3943051103149906,0.1081081081081081,0.1351351351351351,-0.14477068218260072,-0.0826578337840176,0.3625925925925926,-0.1932353080331751,-0.0114173577755763,1,1,2377.228,2387.834,2296.231,2372.552,2391.093,10.605999999999767,MR,s10100
312,2,Serena Williams,2,1,8,7,0.584112149532714,-1.0354719689508378,1213.082805003521,0.044,1.0807221456529892,4.672897196261712,4.088785046728998,0.0,0.0,-2.7651043783863525,-0.6829036149373343,0.165625,0.2729506705652433,0.0857024454376527,1,0,2433.371,2435.083,2296.231,2429.2,2438.112,1.711999999999989,,s10100
313,2,Serena Williams,3,1,8,7,0.4310344827586748,-1.5241571464162331,1376.5657037748222,0.04,1.226367264361253,2.5862068965520484,3.017241379310723,0.125,0.125,0.1346475790652246,-0.0186508591249546,0.3685,-0.9853148413403972,-0.1764300607215174,1,0,2469.014,2471.334,2296.231,2460.524,2475.03,2.319999999999709,,s10100
314,2,Serena Williams,4,4,29,28,0.5448848930663476,0.0426780198047726,928.6548238705074,0.08175,0.8273283816115263,2.996866911864912,3.814194251464433,0.1379310344827586,0.1379310344827586,-0.70186092741835,-0.2102717594106961,0.3043636363636363,0.8446398946812088,0.2048015764586956,1,1,2549.023,2556.364,2296.231,2533.71,2557.528,7.3409999999998945,MR,s10100
315,2,Serena Williams,5,1,26,25,0.1302422505860921,0.0317138554521852,1100.1400484905478,0.081,0.9801026845154548,2.47460276113575,3.2560562646523024,0.1153846153846153,0.1923076923076923,-0.21930128735319687,-0.0997307285016892,0.3474736842105263,0.34589674206246157,0.1008991875839683,1,1,2603.039,2610.717,2296.231,2584.868,2614.876,7.677999999999884,MR,s10100
316,2,Serena Williams,6,4,27,26,0.5444399074452341,0.2021175777563221,1058.7809087948442,0.08025,0.9432562812774063,2.1777596297809363,3.5388593983940213,0.037037037037037,0.2222222222222222,0.2858698469149541,0.0159899686538669,0.3694375,-1.6435899190482228,-0.3135674885767402,1,1,2657.621,2664.968,2296.231,2634.643,2665.296,7.346999999999753,MR,s10100
317,2,Serena Williams,7,0,27,26,0.0,0.0599344923711272,883.3746312684366,0.0,0.7869887554107011,3.098716246126585,3.836505828537677,0.2222222222222222,0.0,0.8181662277088776,0.1379243075350655,0.2848571428571429,-0.5236925670338498,-0.0802610069582878,1,1,2714.634,2721.411,2296.231,2691.187,2727.191,6.777000000000044,MR,s10100
318,2,Serena Williams,8,0,6,5,0.0,1.819659233080961,1040.341463414634,0.0,0.926828781939557,4.065040650406444,4.065040650406444,0.0,0.1666666666666666,-4.110941758215955,-0.9911976350964894,0.2778,-1.6771113723384472,-0.3205509610457234,1,0,2799.375,2800.605,2296.231,2745.746,2801.27,1.2300000000000182,,s10100
319,2,Serena Williams,9,0,1,0,,0.0,,0.0,,inf,,0.0,0.0,,,0.159,,,1,0,2823.485,2823.485,2296.231,2809.698,2829.264,0.0,,s10100
320,3,History of Film,0,6,202,203,0.1028700750951547,-0.0517355387634273,1204.6845481593673,0.0695,1.0732402308826847,2.486026814799574,3.4804375407194037,0.099009900990099,0.1336633663366336,-0.018119544198653595,-0.0536455704363117,0.3333931034482759,-0.5343825853189299,-0.0824880419182713,0,0,,,3256.232,3256.337,3314.663,58.32600000000002,NR,s10100
321,3,History of Film,1,1,15,14,0.2668089647812133,0.5720332998685348,1164.0835689268451,0.073,1.0370692644731356,2.9348986125933463,3.7353255069369857,0.2,0.1333333333333333,0.2652867135526853,0.0112749436242238,0.297,0.24162480521252272,0.0791763764046733,1,0,3337.471,3341.219,3256.232,3314.84,3346.916,3.7480000000000473,,s10100
322,3,History of Film,2,3,19,18,0.5801585766776453,0.0530198738651912,1469.7350487960507,0.0703333333333333,1.3093708104053614,1.7404757300329357,3.4809514600658717,0.1578947368421052,0.4210526315789473,0.13027112721580417,-0.0196533828733005,0.4463333333333333,1.6075624208253039,0.3637400452406596,1,1,3377.038,3382.209,3256.232,3376.465,3387.481,5.170999999999822,MR,s10100
323,3,History of Film,3,1,58,57,0.0608976310821515,-0.1226680154476176,1304.4350787593976,0.007,1.1621068828667396,2.679495767614669,3.471164971682639,0.1206896551724138,0.1206896551724138,0.8562278046786822,0.1466431592726386,0.3251363636363637,-0.15356026202252063,-0.0031519168615976,1,1,3436.349,3452.77,3256.232,3428.482,3454.704,16.42099999999982,MR,s10100
324,3,History of Film,4,1,36,35,0.106632544252504,-0.1224010853750748,1143.7669061367742,0.015,1.0189693727654712,2.452548517807594,3.732139048837643,0.1388888888888889,0.1666666666666666,0.17567434574478255,-0.0092527646572753,0.3923478260869565,-1.2759329993875745,-0.2369740916779832,1,1,3501.198,3510.576,3256.232,3494.178,3514.008,9.378000000000156,MR,s10100
